Rotation amount,Type,Time,Date
+,START,15:58:30.541572,2021-02-12
+,START,16:02:06.516634,2021-02-12
+,START,16:02:06.516634,2021-02-12
-,END,16:02:36.653631,2021-02-12
+,START,16:02:06.516634,2021-02-12
-,END,16:02:36.653631,2021-02-12
+,START,16:02:45.979358,2021-02-12
+,START,16:07:01.325698,2021-02-12
+,START,16:07:01.325698,2021-02-12
0.0,Food,16:07:18.363510,2021-02-12
+,START,16:07:01.325698,2021-02-12
0.0,Food,16:07:18.363510,2021-02-12
0.11,Run,16:07:19.123012,2021-02-12
+,START,16:07:01.325698,2021-02-12
0.0,Food,16:07:18.363510,2021-02-12
0.11,Run,16:07:19.123012,2021-02-12
0.0,Food,16:07:24.995812,2021-02-12
+,START,16:07:01.325698,2021-02-12
0.0,Food,16:07:18.363510,2021-02-12
0.11,Run,16:07:19.123012,2021-02-12
0.0,Food,16:07:24.995812,2021-02-12
0.735,Run,16:07:28.720619,2021-02-12
+,START,16:07:01.325698,2021-02-12
0.0,Food,16:07:18.363510,2021-02-12
0.11,Run,16:07:19.123012,2021-02-12
0.0,Food,16:07:24.995812,2021-02-12
0.735,Run,16:07:28.720619,2021-02-12
0.0008333333333333334,Food,16:07:48.561109,2021-02-12
+,START,16:07:01.325698,2021-02-12
0.0,Food,16:07:18.363510,2021-02-12
0.11,Run,16:07:19.123012,2021-02-12
0.0,Food,16:07:24.995812,2021-02-12
0.735,Run,16:07:28.720619,2021-02-12
0.0008333333333333334,Food,16:07:48.561109,2021-02-12
0.815,Run,16:08:01.712018,2021-02-12
+,START,16:07:01.325698,2021-02-12
0.0,Food,16:07:18.363510,2021-02-12
0.11,Run,16:07:19.123012,2021-02-12
0.0,Food,16:07:24.995812,2021-02-12
0.735,Run,16:07:28.720619,2021-02-12
0.0008333333333333334,Food,16:07:48.561109,2021-02-12
0.815,Run,16:08:01.712018,2021-02-12
-,END,16:08:12.766281,2021-02-12
+,START,16:08:53.126440,2021-02-12
+,START,16:08:53.126440,2021-02-12
0.0,Food,16:09:14.772591,2021-02-12
+,START,16:08:53.126440,2021-02-12
0.0,Food,16:09:14.772591,2021-02-12
-,END,16:09:33.323527,2021-02-12
+,START,16:08:53.126440,2021-02-12
0.0,Food,16:09:14.772591,2021-02-12
-,END,16:09:33.323527,2021-02-12
+,START,16:09:40.774737,2021-02-12
+,START,16:08:53.126440,2021-02-12
0.0,Food,16:09:14.772591,2021-02-12
-,END,16:09:33.323527,2021-02-12
+,START,16:09:40.774737,2021-02-12
0.7925,Run,16:09:58.993398,2021-02-12
+,START,16:08:53.126440,2021-02-12
0.0,Food,16:09:14.772591,2021-02-12
-,END,16:09:33.323527,2021-02-12
+,START,16:09:40.774737,2021-02-12
0.7925,Run,16:09:58.993398,2021-02-12
-,END,16:10:25.177571,2021-02-12
+,START,16:11:38.826111,2021-02-12
+,START,16:11:38.826111,2021-02-12
0.0008333333333333334,Food,16:12:04.961470,2021-02-12
+,START,16:11:38.826111,2021-02-12
0.0008333333333333334,Food,16:12:04.961470,2021-02-12
0.7675,Run,16:12:10.922670,2021-02-12
+,START,16:11:38.826111,2021-02-12
0.0008333333333333334,Food,16:12:04.961470,2021-02-12
0.7675,Run,16:12:10.922670,2021-02-12
0.0008333333333333334,Food,16:12:23.830032,2021-02-12
+,START,16:11:38.826111,2021-02-12
0.0008333333333333334,Food,16:12:04.961470,2021-02-12
0.7675,Run,16:12:10.922670,2021-02-12
0.0008333333333333334,Food,16:12:23.830032,2021-02-12
0.685,Run,16:12:29.909355,2021-02-12
+,START,16:11:38.826111,2021-02-12
0.0008333333333333334,Food,16:12:04.961470,2021-02-12
0.7675,Run,16:12:10.922670,2021-02-12
0.0008333333333333334,Food,16:12:23.830032,2021-02-12
0.685,Run,16:12:29.909355,2021-02-12
0.0,Food,16:12:34.548143,2021-02-12
+,START,16:11:38.826111,2021-02-12
0.0008333333333333334,Food,16:12:04.961470,2021-02-12
0.7675,Run,16:12:10.922670,2021-02-12
0.0008333333333333334,Food,16:12:23.830032,2021-02-12
0.685,Run,16:12:29.909355,2021-02-12
0.0,Food,16:12:34.548143,2021-02-12
0.745,Run,16:12:40.877314,2021-02-12
+,START,16:16:27.985900,2021-02-12
+,START,16:16:27.985900,2021-02-12
0.0,Food,16:16:42.229549,2021-02-12
+,START,16:17:48.105853,2021-02-12
+,START,16:17:48.105853,2021-02-12
0.6833333333333333,Run,16:18:18.926849,2021-02-12
+,START,16:17:48.105853,2021-02-12
0.6833333333333333,Run,16:18:18.926849,2021-02-12
0.0,Food,16:18:36.610925,2021-02-12
+,START,16:17:48.105853,2021-02-12
0.6833333333333333,Run,16:18:18.926849,2021-02-12
0.0,Food,16:18:36.610925,2021-02-12
-,END,16:18:49.960380,2021-02-12
+,START,16:17:48.105853,2021-02-12
0.6833333333333333,Run,16:18:18.926849,2021-02-12
0.0,Food,16:18:36.610925,2021-02-12
-,END,16:18:49.960380,2021-02-12
+,START,16:19:11.874843,2021-02-12
+,START,16:17:48.105853,2021-02-12
0.6833333333333333,Run,16:18:18.926849,2021-02-12
0.0,Food,16:18:36.610925,2021-02-12
-,END,16:18:49.960380,2021-02-12
+,START,16:19:11.874843,2021-02-12
0.0008333333333333334,Food,16:19:42.509571,2021-02-12
+,START,16:17:48.105853,2021-02-12
0.6833333333333333,Run,16:18:18.926849,2021-02-12
0.0,Food,16:18:36.610925,2021-02-12
-,END,16:18:49.960380,2021-02-12
+,START,16:19:11.874843,2021-02-12
0.0008333333333333334,Food,16:19:42.509571,2021-02-12
4.599166666666667,Run,16:20:17.324056,2021-02-12
+,START,16:17:48.105853,2021-02-12
0.6833333333333333,Run,16:18:18.926849,2021-02-12
0.0,Food,16:18:36.610925,2021-02-12
-,END,16:18:49.960380,2021-02-12
+,START,16:19:11.874843,2021-02-12
0.0008333333333333334,Food,16:19:42.509571,2021-02-12
4.599166666666667,Run,16:20:17.324056,2021-02-12
-,END,16:20:31.707567,2021-02-12
+,START,16:17:48.105853,2021-02-12
0.6833333333333333,Run,16:18:18.926849,2021-02-12
0.0,Food,16:18:36.610925,2021-02-12
-,END,16:18:49.960380,2021-02-12
+,START,16:19:11.874843,2021-02-12
0.0008333333333333334,Food,16:19:42.509571,2021-02-12
4.599166666666667,Run,16:20:17.324056,2021-02-12
-,END,16:20:31.707567,2021-02-12
+,START,16:21:33.304497,2021-02-12
+,START,16:22:53.173302,2021-02-12
+,START,16:22:53.173302,2021-02-12
0.0,Food,16:23:25.532280,2021-02-12
+,START,16:27:36.587084,2021-02-12
+,START,16:27:36.587084,2021-02-12
0.0,Food,16:28:01.990779,2021-02-12
+,START,16:27:36.587084,2021-02-12
0.0,Food,16:28:01.990779,2021-02-12
0.0008333333333333334,Food,16:28:18.845908,2021-02-12
+,START,16:27:36.587084,2021-02-12
0.0,Food,16:28:01.990779,2021-02-12
0.0008333333333333334,Food,16:28:18.845908,2021-02-12
0.0,Food,16:28:35.248494,2021-02-12
+,START,16:29:02.931437,2021-02-12
+,START,16:29:02.931437,2021-02-12
0.0,Food,16:29:34.654413,2021-02-12
+,START,16:31:42.971013,2021-02-12
+,START,16:31:42.971013,2021-02-12
0.0,Food,16:32:15.411450,2021-02-12
+,START,16:31:42.971013,2021-02-12
0.0,Food,16:32:15.411450,2021-02-12
0.0,Food,16:32:27.097619,2021-02-12
+,START,16:31:42.971013,2021-02-12
0.0,Food,16:32:15.411450,2021-02-12
0.0,Food,16:32:27.097619,2021-02-12
0.0008333333333333334,Food,16:32:32.661864,2021-02-12
+,START,16:36:19.580396,2021-02-12
+,START,16:36:19.580396,2021-02-12
0.0008333333333333334,Food,16:37:06.524655,2021-02-12
+,START,16:36:19.580396,2021-02-12
0.0008333333333333334,Food,16:37:06.524655,2021-02-12
0.0,Food,16:37:32.242261,2021-02-12
+,START,16:36:19.580396,2021-02-12
0.0008333333333333334,Food,16:37:06.524655,2021-02-12
0.0,Food,16:37:32.242261,2021-02-12
4.589166666666666,Run,16:37:51.010327,2021-02-12
+,START,16:41:46.669184,2021-02-12
+,START,16:41:46.669184,2021-02-12
0.0008333333333333334,Food,16:42:22.701464,2021-02-12
+,START,16:47:18.037335,2021-02-12
+,START,16:48:45.308792,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
6.995,Run,16:49:16.975428,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
6.995,Run,16:49:16.975428,2021-02-12
0.605,Food,16:49:33.086036,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
6.995,Run,16:49:16.975428,2021-02-12
0.605,Food,16:49:33.086036,2021-02-12
-,END,16:50:19.769245,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
6.995,Run,16:49:16.975428,2021-02-12
0.605,Food,16:49:33.086036,2021-02-12
-,END,16:50:19.769245,2021-02-12
+,START,16:51:39.883261,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
6.995,Run,16:49:16.975428,2021-02-12
0.605,Food,16:49:33.086036,2021-02-12
-,END,16:50:19.769245,2021-02-12
+,START,16:51:39.883261,2021-02-12
-,END,16:54:43.681257,2021-02-12
+,START,20:04:27.534324,2021-02-12
+,START,20:04:27.534324,2021-02-12
0.8416666666666667,Food,20:04:59.405930,2021-02-12
+,START,20:04:27.534324,2021-02-12
0.8416666666666667,Food,20:04:59.405930,2021-02-12
5.325833333333334,Run,20:05:24.889265,2021-02-12
+,START,20:04:27.534324,2021-02-12
0.8416666666666667,Food,20:04:59.405930,2021-02-12
5.325833333333334,Run,20:05:24.889265,2021-02-12
-,END,20:05:37.737836,2021-02-12
+,START,20:06:37.295035,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
0.7491666666666666,Food,20:08:23.353612,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
0.7491666666666666,Food,20:08:23.353612,2021-02-12
1.2783333333333333,Run,20:08:33.110359,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
0.7491666666666666,Food,20:08:23.353612,2021-02-12
1.2783333333333333,Run,20:08:33.110359,2021-02-12
-,END,20:08:48.810779,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
0.7491666666666666,Food,20:08:23.353612,2021-02-12
1.2783333333333333,Run,20:08:33.110359,2021-02-12
-,END,20:08:48.810779,2021-02-12
+,START,20:20:35.538846,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
0.7491666666666666,Food,20:08:23.353612,2021-02-12
1.2783333333333333,Run,20:08:33.110359,2021-02-12
-,END,20:08:48.810779,2021-02-12
+,START,20:20:35.538846,2021-02-12
0.0008333333333333334,Run,20:20:54.944055,2021-02-12
+,START,20:21:25.587097,2021-02-12
+,START,20:21:25.587097,2021-02-12
0.585,Run,20:21:45.421504,2021-02-12
+,START,20:21:25.587097,2021-02-12
0.585,Run,20:21:45.421504,2021-02-12
0.6266666666666667,Food,20:21:52.215264,2021-02-12
+,START,20:21:25.587097,2021-02-12
0.585,Run,20:21:45.421504,2021-02-12
0.6266666666666667,Food,20:21:52.215264,2021-02-12
-,END,20:22:07.554758,2021-02-12
